strain,phage,interaction
NIC06,412_P5,0
NILS16,412_P5,0
IAI17,412_P5,0
IAI15,412_P5,0
ECOR05,412_P5,0
IAI11,412_P5,0
NILS35,412_P5,0
ECOR10,412_P5,0
ECOR43A,412_P5,0
ECOR12,412_P5,0
IAI14,412_P5,0
IAI19,412_P5,0
IAI20,412_P5,0
ECOR25,412_P5,0
IAI26,412_P5,0
ECOR01,412_P5,0
IAI44,412_P5,0
ECOR08,412_P5,0
NILS13,412_P5,0
IAI07,412_P5,0
NILS10,412_P5,0
BE,412_P5,1
NILS07,412_P5,0
ECOR09,412_P5,0
NILS14,412_P5,0
ECOR13,412_P5,1
ECOR03,412_P5,0
NILS11,412_P5,1
IAI06,412_P5,1
ECOR02,412_P5,0
IAI13,412_P5,0
IAI09,412_P5,0
ECOR14,412_P5,0
IAI25,412_P5,0
IAI22,412_P5,0
IAI28,412_P5,0
NILS08,412_P5,0
ECOR07,412_P5,0
IAI29,412_P5,0
IAI12,412_P5,0
ECOR21,412_P5,0
ECOR20,412_P5,0
ECOR18,412_P5,0
ECOR19,412_P5,0
NILS17,412_P5,0
NILS12,412_P5,0
ECOR06,412_P5,0
ECOR23,412_P5,0
NILS41,412_P5,0
BL21,412_P5,1
ECOR17,412_P5,0
NILS03,412_P5,0
ECOR22,412_P5,0
ECOR16,412_P5,0
NILS04,412_P5,0
ECOR15,412_P5,0
NILS43,412_P5,0
ECOR04,412_P5,0
IAI16,412_P5,0
IAI23,412_P5,0
NILS37,412_P5,0
IAI03,412_P5,0
ECOR24,412_P5,0
ROAR274,412_P5,0
ECOR42,412_P5,0
IAI50,412_P5,0
ROAR036,412_P5,0
EC6230,412_P5,0
025010,412_P5,0
NILS05,412_P5,0
ROAR387,412_P5,0
B6A1,412_P5,0
ECOR31,412_P5,0
LMR3158,412_P5,0
ROAR131,412_P5,0
ROAR059,412_P5,0
EDL933,412_P5,0
ECOR37,412_P5,0
ROAR029,412_P5,0
IAI05,412_P5,0
ROAR012,412_P5,0
NILS45,412_P5,0
H442,412_P5,0
E2052,412_P5,0
TW10509,412_P5,0
H009,412_P5,0
H384,412_P5,0
E7519,412_P5,0
NILS31,412_P5,0
370D,412_P5,0
E4962,412_P5,0
M863,412_P5,1
IAI32,412_P5,0
IAI45,412_P5,0
ROAR185,412_P5,0
H10030019BM,412_P5,0
C2119,412_P5,0
B1747,412_P5,0
H10040007OM,412_P5,0
B12I13,412_P5,0
E1492,412_P5,0
B253,412_P5,0
EFERGUSONIIIVAN,412_P5,0
ATCC35469T,412_P5,1
ROAR344,412_P5,0
B691,412_P5,0
ROAR176,412_P5,0
ROAR220,412_P5,0
ROAR130,412_P5,0
ROAR129,412_P5,0
ROAR292,412_P5,0
ROAR145,412_P5,0
ROAR043,412_P5,0
ROAR438,412_P5,0
ROAR291,412_P5,0
ROAR116,412_P5,0
B49,412_P5,0
ROAR019,412_P5,0
B1147,412_P5,0
S1109,412_P5,0
EALBERTIICIP107988T,412_P5,0
S184,412_P5,0
B090,412_P5,0
B156,412_P5,0
S191,412_P5,0
B992,412_P5,0
ECOR54,409_P8,0
DIJ06,409_P8,0
ECOR52,409_P8,0
ECOR51,409_P8,1
ECOR55,409_P8,0
IAI54,409_P8,0
ECOR57,409_P8,0
IAI72,409_P8,0
NILS59,409_P8,0
LF31,409_P8,0
NILS71,409_P8,0
AN17,409_P8,0
T147,409_P8,0
ECOR56,409_P8,0
NILS74,409_P8,0
IAI68,409_P8,0
IAI62,409_P8,0
IAI63,409_P8,0
NILS79,409_P8,0
NILS72,409_P8,0
IAI76,409_P8,0
IAI75,409_P8,0
NILS29,409_P8,0
NILS65,409_P8,0
IAI57,409_P8,0
IAI82,409_P8,0
IAI73,409_P8,0
536,409_P8,0
IAI64,409_P8,0
NILS81,409_P8,0
IAI55,409_P8,0
IAI70,409_P8,0
NILS82,409_P8,0
NILS78,409_P8,0
NILS57,409_P8,0
AL505,409_P8,0
NILS67,409_P8,0
IAI60,409_P8,0
IAI66,409_P8,0
IAI46,409_P8,0
LF7074,409_P8,0
IAI56,409_P8,0
IAI61,409_P8,0
ECOR61,409_P8,0
ECOR62,409_P8,0
IAI38,409_P8,0
IAI59,409_P8,0
IAI69,409_P8,0
IAI65,409_P8,0
NILS68,409_P8,0
NILS21,409_P8,0
NILS66,409_P8,0
ECOR59,409_P8,0
ECOR60,409_P8,0
IAI71,409_P8,0
NILS75,409_P8,0
IAI77,409_P8,0
NILS70,409_P8,0
ECOR53,409_P8,0
IAI74,409_P8,0
NILS54,409_P8,0
T145,409_P8,0
IAI51,409_P8,0
NILS62,409_P8,0
MT1B1,409_P8,0
NILS61,409_P8,0
LF82,409_P8,0
LF73,409_P8,0
NRG807C,409_P8,0
NILS26,409_P8,0
NILS80,409_P8,0
IAI53,409_P8,0
T205,409_P8,0
ED1A,409_P8,0
034026C1,409_P8,0
035004,409_P8,0
VDG427,409_P8,0
IAI48,409_P8,0
BEN4D,409_P8,0
NILS20,409_P8,0
034008,409_P8,0
001031C1,409_P8,0
013008,409_P8,0
COLF12G,409_P8,0
381A,409_P8,0
ECOR65,409_P8,0
IAI49,409_P8,0
NILS77,409_P8,0
IAI78,409_P8,0
IAI81,409_P8,1
IAI79,409_P8,0
IAI80,409_P8,0
ECOR64,409_P8,1
IAI67,409_P8,0
NILS28,409_P8,0
NILS58,409_P8,0
IAI47,409_P8,0
ECOR63,409_P8,0
ASP51G,409_P8,0
S176,409_P8,0
H10030035DE,409_P8,0
S21,409_P8,0
FN116,409_P8,0
FNB9,409_P8,0
FN126,409_P8,0
S111,409_P8,0
FN89,409_P8,0
NILS64,409_P8,0
LI10,409_P8,0
NILS25,409_P8,0
NILS55,409_P8,0
NILS27,409_P8,1
NILS73,409_P8,0
NILS19,409_P8,0
LM33,409_P8,0
NILS44,409_P8,0
NILS53,409_P8,0
NILS76,409_P8,0
NILS63,409_P8,0
NILS69,409_P8,0
ECOR66,409_P8,0
E234869,409_P8,0
FNB7,409_P8,0
DEC2A,409_P8,0
DEC1A,409_P8,0
FNB4,409_P8,0
BDX09,409_P8,0
AN03,409_P8,0
H10010155MI,409_P8,0
H10010034SM,409_P8,0
NILS60,409_P8,0
H10010053KC,409_P8,0
H10030054PP,409_P8,0
B1932,409_P8,0
ROAR434,409_P8,0
001023,409_P8,0
003026,409_P8,0
921A,409_P8,0
916A,409_P8,0
E1426,409_P8,0
H95,409_P8,0
H10020069VG,409_P8,0
ECOR38,409_P8,0
ECOR39,409_P8,0
ECOR41,409_P8,0
ECOR40,409_P8,0
IAI39,409_P8,0
IAI36,409_P8,0
ECOR35,409_P8,0
IAI58,409_P8,0
ECOR36,409_P8,0
NILS36,409_P8,0
IAI35,409_P8,0
IAI33,409_P8,0
NILS01,409_P8,0
PDP21,409_P8,1
NILS39,409_P8,0
NILS50,409_P8,0
NILS46,409_P8,0
LM08,409_P8,0
NILS18,409_P8,1
LM02,409_P8,0
DIJ07,409_P8,0
LM40,409_P8,0
BDX03,409_P8,0
IAI30,409_P8,0
IAI27,409_P8,0
ECOR47,409_P8,0
IAI24,409_P8,0
ECOR44,409_P8,0
NILS38,409_P8,0
NILS51,409_P8,0
ECOR49,409_P8,1
ECOR50,409_P8,1
NILS56,409_P8,0
ECOR46,409_P8,0
NILS42,409_P8,0
NILS52,409_P8,0
ECOR48,409_P8,0
NILS23,409_P8,0
ROAR178,409_P8,0
ROAR419,409_P8,0
H10040017BM,409_P8,0
H14,409_P8,0
H10030010GJ,409_P8,0
ROAR400,409_P8,0
ROAR205,409_P8,0
BCH953,409_P8,0
H10020064EM,409_P8,0
NILS49,409_P8,0
LM07,409_P8,0
H10010027SG,409_P8,0
H10050058MA,409_P8,0
NILS24,409_P8,0
ROAR334,409_P8,0
ROAR047,409_P8,0
ROAR072,409_P8,0
ROAR061,409_P8,0
ROAR082,409_P8,0
H4,409_P8,0
H10010093RA,409_P8,0
H48,409_P8,0
H47,409_P8,0
H70,409_P8,0
H10010125BM,409_P8,0
ECOR34,409_P8,0
ECOR32,409_P8,0
ECOR33,409_P8,0
ECOR30,409_P8,0
ECOR29,409_P8,0
LF50,409_P8,0
IAI01,409_P8,0
ECOR67,409_P8,0
NILS02,409_P8,0
ECOR26,409_P8,0
ECOR27,409_P8,0
ECOR28,409_P8,0
ECOR45,409_P8,0
55989,409_P8,0
IAI02,409_P8,0
NILS33,409_P8,0
IAI21,409_P8,0
ECOR69,409_P8,0
ECOR58,409_P8,0
ECOR72,409_P8,0
H10030071CJ,409_P8,0
NILS47,409_P8,0
H10050012LM,409_P8,0
ECOR70,409_P8,0
H10070037HD,409_P8,0
H10030079GR,409_P8,0
H10010131CA,409_P8,0
H10030120PR,409_P8,0
H10030088BJ,409_P8,0
ECOR71,409_P8,0
H10020060CT,409_P8,0
NILS15,409_P8,0
IAI43,409_P8,0
H10060022LR,409_P8,0
H10030116VR,409_P8,0
H10010020MO,409_P8,0
H10030090VJ,409_P8,0
H10010013LJ,409_P8,0
H10030105CR,409_P8,0
H10030115LR,409_P8,0
PDP110,409_P8,0
IAI18,409_P8,0
H10070015DG,409_P8,0
NILS48,409_P8,0
IAI41,409_P8,0
H10040021WI,409_P8,0
H10020007MM,409_P8,0
NILS34,409_P8,0
NILS40,409_P8,0
H10020011MG,409_P8,0
H10010003SJ,409_P8,0
IAI42,409_P8,0
H10010154TK,409_P8,0
PDP351,409_P8,0
H10010121QJ,409_P8,0
IAI08,409_P8,0
H10060003SL,409_P8,0
IAI40,409_P8,0
IAI37,409_P8,0
ECOR11,409_P8,1
NILS09,409_P8,0
NILS30,409_P8,0
NILS32,409_P8,0
IAI10,409_P8,0
IAI31,409_P8,0
IAI04,409_P8,0
AN24,409_P8,0
NILS06,409_P8,0
NILS22,409_P8,0
NAN33,409_P8,0
IAI34,409_P8,0
NIC06,409_P8,0
NILS16,409_P8,0
IAI17,409_P8,0
IAI15,409_P8,0
ECOR05,409_P8,0
IAI11,409_P8,0
NILS35,409_P8,0
ECOR10,409_P8,0
ECOR43A,409_P8,0
ECOR12,409_P8,0
IAI14,409_P8,0
IAI19,409_P8,0
IAI20,409_P8,0
ECOR25,409_P8,0
IAI26,409_P8,0
ECOR01,409_P8,0
IAI44,409_P8,0
ECOR08,409_P8,0
NILS13,409_P8,0
IAI07,409_P8,0
NILS10,409_P8,0
BE,409_P8,0
NILS07,409_P8,0
ECOR09,409_P8,0
NILS14,409_P8,0
ECOR13,409_P8,0
ECOR03,409_P8,0
NILS11,409_P8,0
IAI06,409_P8,0
ECOR02,409_P8,0
IAI13,409_P8,0
IAI09,409_P8,0
ECOR14,409_P8,0
IAI25,409_P8,0
IAI22,409_P8,0
IAI28,409_P8,0
NILS08,409_P8,0
ECOR07,409_P8,0
IAI29,409_P8,0
IAI12,409_P8,0
ECOR21,409_P8,0
ECOR20,409_P8,0
ECOR18,409_P8,0
ECOR19,409_P8,0
NILS17,409_P8,0
NILS12,409_P8,0
ECOR06,409_P8,0
ECOR23,409_P8,0
NILS41,409_P8,0
BL21,409_P8,0
ECOR17,409_P8,0
NILS03,409_P8,0
ECOR22,409_P8,0
ECOR16,409_P8,0
NILS04,409_P8,0
ECOR15,409_P8,0
NILS43,409_P8,0
ECOR04,409_P8,0
IAI16,409_P8,0
IAI23,409_P8,0
NILS37,409_P8,0
IAI03,409_P8,0
ECOR24,409_P8,0
ROAR274,409_P8,0
ECOR42,409_P8,0
IAI50,409_P8,0
ROAR036,409_P8,0
EC6230,409_P8,0
025010,409_P8,0
NILS05,409_P8,0
ROAR387,409_P8,0
B6A1,409_P8,0
ECOR31,409_P8,0
LMR3158,409_P8,0
ROAR131,409_P8,0
ROAR059,409_P8,0
EDL933,409_P8,0
ECOR37,409_P8,0
ROAR029,409_P8,0
IAI05,409_P8,0
ROAR012,409_P8,0
NILS45,409_P8,0
H442,409_P8,0
E2052,409_P8,0
TW10509,409_P8,0
H009,409_P8,0
H384,409_P8,0
E7519,409_P8,0
NILS31,409_P8,0
370D,409_P8,0
E4962,409_P8,0
M863,409_P8,0
IAI32,409_P8,0
IAI45,409_P8,0
ROAR185,409_P8,0
H10030019BM,409_P8,0
C2119,409_P8,0
B1747,409_P8,0
H10040007OM,409_P8,0
B12I13,409_P8,0
E1492,409_P8,0
B253,409_P8,0
EFERGUSONIIIVAN,409_P8,0
ATCC35469T,409_P8,0
ROAR344,409_P8,0
B691,409_P8,0
ROAR176,409_P8,0
ROAR220,409_P8,0
ROAR130,409_P8,0
ROAR129,409_P8,0
ROAR292,409_P8,0
ROAR145,409_P8,0
ROAR043,409_P8,0
ROAR438,409_P8,0
ROAR291,409_P8,0
ROAR116,409_P8,0
B49,409_P8,0
ROAR019,409_P8,0
B1147,409_P8,0
S1109,409_P8,0
EALBERTIICIP107988T,409_P8,0
S184,409_P8,0
B090,409_P8,0
B156,409_P8,0
S191,409_P8,0
B992,409_P8,0
ECOR54,536_P11,0
DIJ06,536_P11,0
ECOR52,536_P11,0
ECOR51,536_P11,0
ECOR55,536_P11,1
IAI54,536_P11,0
ECOR57,536_P11,0
IAI72,536_P11,0
NILS59,536_P11,1
LF31,536_P11,0
NILS71,536_P11,0
AN17,536_P11,0
T147,536_P11,1
ECOR56,536_P11,1
NILS74,536_P11,1
IAI68,536_P11,0
IAI62,536_P11,0
IAI63,536_P11,0
NILS79,536_P11,1
NILS72,536_P11,1
IAI76,536_P11,0
IAI75,536_P11,1
NILS29,536_P11,0
NILS65,536_P11,0
IAI57,536_P11,0
IAI82,536_P11,0
IAI73,536_P11,1
536,536_P11,1
IAI64,536_P11,0
NILS81,536_P11,0
IAI55,536_P11,1
IAI70,536_P11,0
NILS82,536_P11,0
NILS78,536_P11,0
NILS57,536_P11,0
AL505,536_P11,0
NILS67,536_P11,0
IAI60,536_P11,0
IAI66,536_P11,0
IAI46,536_P11,1
LF7074,536_P11,0
IAI56,536_P11,0
IAI61,536_P11,0
ECOR61,536_P11,1
ECOR62,536_P11,0
IAI38,536_P11,0
IAI59,536_P11,0
IAI69,536_P11,0
IAI65,536_P11,1
NILS68,536_P11,1
NILS21,536_P11,0
NILS66,536_P11,0
ECOR59,536_P11,0
ECOR60,536_P11,0
IAI71,536_P11,1
NILS75,536_P11,0
IAI77,536_P11,0
NILS70,536_P11,0
ECOR53,536_P11,0
IAI74,536_P11,1
NILS54,536_P11,1
T145,536_P11,1
IAI51,536_P11,1
NILS62,536_P11,0
MT1B1,536_P11,0
NILS61,536_P11,0
LF82,536_P11,0
LF73,536_P11,0
NRG807C,536_P11,1
NILS26,536_P11,0
NILS80,536_P11,0
IAI53,536_P11,0
T205,536_P11,0
ED1A,536_P11,0
034026C1,536_P11,0
035004,536_P11,0
VDG427,536_P11,0
IAI48,536_P11,0
BEN4D,536_P11,0
NILS20,536_P11,0
034008,536_P11,0
001031C1,536_P11,0
013008,536_P11,0
COLF12G,536_P11,0
381A,536_P11,0
ECOR65,536_P11,0
IAI49,536_P11,1
NILS77,536_P11,0
IAI78,536_P11,0
IAI81,536_P11,0
IAI79,536_P11,0
IAI80,536_P11,0
ECOR64,536_P11,0
IAI67,536_P11,0
NILS28,536_P11,0
NILS58,536_P11,0
IAI47,536_P11,1
ECOR63,536_P11,1
ASP51G,536_P11,0
S176,536_P11,0
H10030035DE,536_P11,0
S21,536_P11,1
FN116,536_P11,0
FNB9,536_P11,0
FN126,536_P11,0
S111,536_P11,0
FN89,536_P11,0
NILS64,536_P11,0
LI10,536_P11,0
NILS25,536_P11,0
NILS55,536_P11,0
NILS27,536_P11,0
NILS73,536_P11,0
NILS19,536_P11,0
LM33,536_P11,0
NILS44,536_P11,0
NILS53,536_P11,0
NILS76,536_P11,0
NILS63,536_P11,0
NILS69,536_P11,1
ECOR66,536_P11,0
E234869,536_P11,0
FNB7,536_P11,0
DEC2A,536_P11,0
DEC1A,536_P11,0
FNB4,536_P11,0
BDX09,536_P11,0
AN03,536_P11,0
H10010155MI,536_P11,0
H10010034SM,536_P11,0
NILS60,536_P11,0
H10010053KC,536_P11,0
H10030054PP,536_P11,0
B1932,536_P11,0
ROAR434,536_P11,0
001023,536_P11,0
003026,536_P11,0
921A,536_P11,0
916A,536_P11,1
E1426,536_P11,0
H95,536_P11,0
H10020069VG,536_P11,0
ECOR38,536_P11,0
ECOR39,536_P11,0
ECOR41,536_P11,0
ECOR40,536_P11,0
IAI39,536_P11,0
IAI36,536_P11,0
ECOR35,536_P11,0
IAI58,536_P11,0
ECOR36,536_P11,0
NILS36,536_P11,0
IAI35,536_P11,0
IAI33,536_P11,0
NILS01,536_P11,0
PDP21,536_P11,0
NILS39,536_P11,0
NILS50,536_P11,0
NILS46,536_P11,0
LM08,536_P11,0
NILS18,536_P11,0
LM02,536_P11,0
DIJ07,536_P11,0
LM40,536_P11,0
BDX03,536_P11,0
IAI30,536_P11,0
IAI27,536_P11,0
ECOR47,536_P11,1
IAI24,536_P11,0
ECOR44,536_P11,0
NILS38,536_P11,0
NILS51,536_P11,0
ECOR49,536_P11,0
ECOR50,536_P11,0
NILS56,536_P11,0
ECOR46,536_P11,0
NILS42,536_P11,0
NILS52,536_P11,0
ECOR48,536_P11,0
NILS23,536_P11,0
ROAR178,536_P11,0
ROAR419,536_P11,0
H10040017BM,536_P11,0
H14,536_P11,0
H10030010GJ,536_P11,0
ROAR400,536_P11,0
ROAR205,536_P11,0
BCH953,536_P11,0
H10020064EM,536_P11,0
NILS49,536_P11,0
LM07,536_P11,0
H10010027SG,536_P11,0
H10050058MA,536_P11,0
NILS24,536_P11,0
ROAR334,536_P11,0
ROAR047,536_P11,0
ROAR072,536_P11,0
ROAR061,536_P11,0
ROAR082,536_P11,0
H4,536_P11,0
H10010093RA,536_P11,0
H48,536_P11,0
H47,536_P11,0
H70,536_P11,0
H10010125BM,536_P11,0
ECOR34,536_P11,0
ECOR32,536_P11,0
ECOR33,536_P11,0
ECOR30,536_P11,0
ECOR29,536_P11,0
LF50,536_P11,0
IAI01,536_P11,0
ECOR67,536_P11,0
NILS02,536_P11,0
ECOR26,536_P11,0
ECOR27,536_P11,0
ECOR28,536_P11,0
ECOR45,536_P11,1
55989,536_P11,0
IAI02,536_P11,0
NILS33,536_P11,0
IAI21,536_P11,0
ECOR69,536_P11,0
ECOR58,536_P11,0
ECOR72,536_P11,0
H10030071CJ,536_P11,0
NILS47,536_P11,0
H10050012LM,536_P11,0
ECOR70,536_P11,0
H10070037HD,536_P11,0
H10030079GR,536_P11,0
H10010131CA,536_P11,0
H10030120PR,536_P11,0
H10030088BJ,536_P11,0
ECOR71,536_P11,0
H10020060CT,536_P11,0
NILS15,536_P11,0
IAI43,536_P11,0
H10060022LR,536_P11,0
H10030116VR,536_P11,0
H10010020MO,536_P11,0
H10030090VJ,536_P11,0
H10010013LJ,536_P11,0
H10030105CR,536_P11,1
H10030115LR,536_P11,0
PDP110,536_P11,0
IAI18,536_P11,0
H10070015DG,536_P11,0
NILS48,536_P11,0
IAI41,536_P11,0
H10040021WI,536_P11,0
H10020007MM,536_P11,0
NILS34,536_P11,0
NILS40,536_P11,0
H10020011MG,536_P11,0
H10010003SJ,536_P11,0
IAI42,536_P11,0
H10010154TK,536_P11,0
PDP351,536_P11,0
H10010121QJ,536_P11,0
IAI08,536_P11,0
H10060003SL,536_P11,0
IAI40,536_P11,0
IAI37,536_P11,0
ECOR11,536_P11,0
NILS09,536_P11,0
NILS30,536_P11,0
NILS32,536_P11,0
IAI10,536_P11,0
IAI31,536_P11,0
IAI04,536_P11,0
AN24,536_P11,0
NILS06,536_P11,0
NILS22,536_P11,0
NAN33,536_P11,0
IAI34,536_P11,0
NIC06,536_P11,0
NILS16,536_P11,0
IAI17,536_P11,0
IAI15,536_P11,0
ECOR05,536_P11,0
IAI11,536_P11,0
NILS35,536_P11,0
ECOR10,536_P11,0
ECOR43A,536_P11,0
ECOR12,536_P11,0
IAI14,536_P11,0
IAI19,536_P11,0
IAI20,536_P11,0
ECOR25,536_P11,0
IAI26,536_P11,0
ECOR01,536_P11,0
IAI44,536_P11,0
ECOR08,536_P11,0
NILS13,536_P11,0
IAI07,536_P11,0
NILS10,536_P11,0
BE,536_P11,0
NILS07,536_P11,0
ECOR09,536_P11,0
NILS14,536_P11,0
ECOR13,536_P11,1
ECOR03,536_P11,0
NILS11,536_P11,0
IAI06,536_P11,0
ECOR02,536_P11,0
IAI13,536_P11,0
IAI09,536_P11,0
ECOR14,536_P11,0
IAI25,536_P11,0
IAI22,536_P11,0
IAI28,536_P11,0
NILS08,536_P11,0
ECOR07,536_P11,0
IAI29,536_P11,0
IAI12,536_P11,0
ECOR21,536_P11,0
ECOR20,536_P11,0
ECOR18,536_P11,0
ECOR19,536_P11,0
NILS17,536_P11,0
NILS12,536_P11,0
ECOR06,536_P11,0
ECOR23,536_P11,0
NILS41,536_P11,0
BL21,536_P11,1
ECOR17,536_P11,0
NILS03,536_P11,0
ECOR22,536_P11,0
ECOR16,536_P11,0
NILS04,536_P11,0
ECOR15,536_P11,0
NILS43,536_P11,0
ECOR04,536_P11,0
IAI16,536_P11,0
IAI23,536_P11,0
NILS37,536_P11,0
IAI03,536_P11,0
ECOR24,536_P11,0
ROAR274,536_P11,0
ECOR42,536_P11,0
IAI50,536_P11,0
ROAR036,536_P11,0
EC6230,536_P11,0
025010,536_P11,0
NILS05,536_P11,0
ROAR387,536_P11,0
B6A1,536_P11,0
ECOR31,536_P11,0
LMR3158,536_P11,0
ROAR131,536_P11,0
ROAR059,536_P11,0
EDL933,536_P11,0
ECOR37,536_P11,0
ROAR029,536_P11,1
IAI05,536_P11,0
ROAR012,536_P11,1
NILS45,536_P11,0
H442,536_P11,0
E2052,536_P11,0
TW10509,536_P11,1
H009,536_P11,0
H384,536_P11,0
E7519,536_P11,0
NILS31,536_P11,0
370D,536_P11,0
E4962,536_P11,0
M863,536_P11,1
IAI32,536_P11,0
IAI45,536_P11,0
ROAR185,536_P11,0
H10030019BM,536_P11,0
C2119,536_P11,0
B1747,536_P11,0
H10040007OM,536_P11,0
B12I13,536_P11,0
E1492,536_P11,0
B253,536_P11,0
EFERGUSONIIIVAN,536_P11,0
ATCC35469T,536_P11,0
ROAR344,536_P11,0
B691,536_P11,0
ROAR176,536_P11,0
ROAR220,536_P11,0
ROAR130,536_P11,0
ROAR129,536_P11,0
ROAR292,536_P11,0
ROAR145,536_P11,0
ROAR043,536_P11,0
ROAR438,536_P11,0
ROAR291,536_P11,0
ROAR116,536_P11,0
B49,536_P11,0
ROAR019,536_P11,0
B1147,536_P11,0
S1109,536_P11,0
EALBERTIICIP107988T,536_P11,0
S184,536_P11,0
B090,536_P11,0
B156,536_P11,0
S191,536_P11,0
B992,536_P11,0
ECOR54,BCH953_P1,0
DIJ06,BCH953_P1,0
ECOR52,BCH953_P1,0
ECOR51,BCH953_P1,0
ECOR55,BCH953_P1,0
IAI54,BCH953_P1,0
ECOR57,BCH953_P1,0
IAI72,BCH953_P1,0
NILS59,BCH953_P1,0
LF31,BCH953_P1,0
NILS71,BCH953_P1,0
AN17,BCH953_P1,1
T147,BCH953_P1,0
ECOR56,BCH953_P1,0
NILS74,BCH953_P1,0
IAI68,BCH953_P1,0
IAI62,BCH953_P1,0
IAI63,BCH953_P1,0
NILS79,BCH953_P1,0
NILS72,BCH953_P1,0
IAI76,BCH953_P1,0
IAI75,BCH953_P1,0
NILS29,BCH953_P1,0
NILS65,BCH953_P1,0
IAI57,BCH953_P1,0
IAI82,BCH953_P1,0
IAI73,BCH953_P1,0
536,BCH953_P1,0
IAI64,BCH953_P1,1
NILS81,BCH953_P1,0
IAI55,BCH953_P1,0
IAI70,BCH953_P1,0
NILS82,BCH953_P1,0
NILS78,BCH953_P1,0
NILS57,BCH953_P1,0
AL505,BCH953_P1,1
NILS67,BCH953_P1,0
IAI60,BCH953_P1,0
IAI66,BCH953_P1,0
IAI46,BCH953_P1,0
LF7074,BCH953_P1,0
IAI56,BCH953_P1,0
IAI61,BCH953_P1,0
ECOR61,BCH953_P1,0
ECOR62,BCH953_P1,0
IAI38,BCH953_P1,0
IAI59,BCH953_P1,0
IAI69,BCH953_P1,0
IAI65,BCH953_P1,0
NILS68,BCH953_P1,0
NILS21,BCH953_P1,0
NILS66,BCH953_P1,0
ECOR59,BCH953_P1,0
ECOR60,BCH953_P1,0
IAI71,BCH953_P1,0
NILS75,BCH953_P1,0
IAI77,BCH953_P1,0
NILS70,BCH953_P1,0
ECOR53,BCH953_P1,0
IAI74,BCH953_P1,0
NILS54,BCH953_P1,0
T145,BCH953_P1,0
IAI51,BCH953_P1,0
NILS62,BCH953_P1,0
MT1B1,BCH953_P1,0
NILS61,BCH953_P1,0
LF82,BCH953_P1,0
LF73,BCH953_P1,0
NRG807C,BCH953_P1,0
NILS26,BCH953_P1,0
NILS80,BCH953_P1,0
IAI53,BCH953_P1,0
T205,BCH953_P1,0
ED1A,BCH953_P1,0
034026C1,BCH953_P1,0
035004,BCH953_P1,0
VDG427,BCH953_P1,0
IAI48,BCH953_P1,0
BEN4D,BCH953_P1,0
NILS20,BCH953_P1,0
034008,BCH953_P1,0
001031C1,BCH953_P1,0
013008,BCH953_P1,0
COLF12G,BCH953_P1,0
381A,BCH953_P1,0
ECOR65,BCH953_P1,0
IAI49,BCH953_P1,0
NILS77,BCH953_P1,0
IAI78,BCH953_P1,0
IAI81,BCH953_P1,0
IAI79,BCH953_P1,0
IAI80,BCH953_P1,0
ECOR64,BCH953_P1,1
IAI67,BCH953_P1,0
NILS28,BCH953_P1,0
NILS58,BCH953_P1,0
IAI47,BCH953_P1,0
ECOR63,BCH953_P1,0
ASP51G,BCH953_P1,0
S176,BCH953_P1,0
H10030035DE,BCH953_P1,0
S21,BCH953_P1,0
FN116,BCH953_P1,0
FNB9,BCH953_P1,0
FN126,BCH953_P1,0
S111,BCH953_P1,0
FN89,BCH953_P1,0
NILS64,BCH953_P1,0
LI10,BCH953_P1,0
NILS25,BCH953_P1,0
NILS55,BCH953_P1,0
NILS27,BCH953_P1,0
NILS73,BCH953_P1,0
NILS19,BCH953_P1,0
LM33,BCH953_P1,0
NILS44,BCH953_P1,0
NILS53,BCH953_P1,0
NILS76,BCH953_P1,0
NILS63,BCH953_P1,0
NILS69,BCH953_P1,0
ECOR66,BCH953_P1,0
E234869,BCH953_P1,0
FNB7,BCH953_P1,0
DEC2A,BCH953_P1,0
DEC1A,BCH953_P1,0
FNB4,BCH953_P1,0
BDX09,BCH953_P1,0
AN03,BCH953_P1,0
H10010155MI,BCH953_P1,0
H10010034SM,BCH953_P1,0
NILS60,BCH953_P1,0
H10010053KC,BCH953_P1,0
H10030054PP,BCH953_P1,0
B1932,BCH953_P1,0
ROAR434,BCH953_P1,0
001023,BCH953_P1,0
003026,BCH953_P1,0
921A,BCH953_P1,0
916A,BCH953_P1,0
E1426,BCH953_P1,0
H95,BCH953_P1,0
H10020069VG,BCH953_P1,0
ECOR38,BCH953_P1,0
ECOR39,BCH953_P1,0
ECOR41,BCH953_P1,0
ECOR40,BCH953_P1,0
IAI39,BCH953_P1,0
IAI36,BCH953_P1,0
ECOR35,BCH953_P1,0
IAI58,BCH953_P1,0
ECOR36,BCH953_P1,0
NILS36,BCH953_P1,0
IAI35,BCH953_P1,0
IAI33,BCH953_P1,0
NILS01,BCH953_P1,0
PDP21,BCH953_P1,0
NILS39,BCH953_P1,0
NILS50,BCH953_P1,0
NILS46,BCH953_P1,0
LM08,BCH953_P1,0
NILS18,BCH953_P1,0
LM02,BCH953_P1,0
DIJ07,BCH953_P1,0
LM40,BCH953_P1,0
BDX03,BCH953_P1,0
IAI30,BCH953_P1,0
IAI27,BCH953_P1,0
ECOR47,BCH953_P1,0
IAI24,BCH953_P1,0
ECOR44,BCH953_P1,0
NILS38,BCH953_P1,0
