strain,phage,interaction
H009,LF82_P8,0
H384,LF82_P8,0
E7519,LF82_P8,0
NILS31,LF82_P8,0
370D,LF82_P8,0
E4962,LF82_P8,1
M863,LF82_P8,1
IAI32,LF82_P8,1
IAI45,LF82_P8,1
ROAR185,LF82_P8,0
H10030019BM,LF82_P8,0
C2119,LF82_P8,0
B1747,LF82_P8,0
H10040007OM,LF82_P8,0
B12I13,LF82_P8,0
E1492,LF82_P8,0
B253,LF82_P8,0
EFERGUSONIIIVAN,LF82_P8,0
ATCC35469T,LF82_P8,1
ROAR344,LF82_P8,0
B691,LF82_P8,1
ROAR176,LF82_P8,0
ROAR220,LF82_P8,0
ROAR130,LF82_P8,1
ROAR129,LF82_P8,1
ROAR292,LF82_P8,0
ROAR145,LF82_P8,1
ROAR043,LF82_P8,1
ROAR438,LF82_P8,1
ROAR291,LF82_P8,0
ROAR116,LF82_P8,1
B49,LF82_P8,0
ROAR019,LF82_P8,0
B1147,LF82_P8,0
S1109,LF82_P8,0
EALBERTIICIP107988T,LF82_P8,0
S184,LF82_P8,0
B090,LF82_P8,0
B156,LF82_P8,0
S191,LF82_P8,0
B992,LF82_P8,0
ECOR54,AL505_Ev3,0
DIJ06,AL505_Ev3,0
ECOR52,AL505_Ev3,0
ECOR51,AL505_Ev3,1
ECOR55,AL505_Ev3,1
IAI54,AL505_Ev3,0
ECOR57,AL505_Ev3,1
IAI72,AL505_Ev3,1
NILS59,AL505_Ev3,1
LF31,AL505_Ev3,1
NILS71,AL505_Ev3,0
AN17,AL505_Ev3,1
T147,AL505_Ev3,1
ECOR56,AL505_Ev3,1
NILS74,AL505_Ev3,1
IAI68,AL505_Ev3,0
IAI62,AL505_Ev3,1
IAI63,AL505_Ev3,1
NILS79,AL505_Ev3,1
NILS72,AL505_Ev3,1
IAI76,AL505_Ev3,1
IAI75,AL505_Ev3,1
NILS29,AL505_Ev3,1
NILS65,AL505_Ev3,1
IAI57,AL505_Ev3,1
IAI82,AL505_Ev3,1
IAI73,AL505_Ev3,1
536,AL505_Ev3,1
IAI64,AL505_Ev3,1
NILS81,AL505_Ev3,1
IAI55,AL505_Ev3,1
IAI70,AL505_Ev3,1
NILS82,AL505_Ev3,1
NILS78,AL505_Ev3,1
NILS57,AL505_Ev3,1
AL505,AL505_Ev3,1
NILS67,AL505_Ev3,1
IAI60,AL505_Ev3,1
IAI66,AL505_Ev3,1
IAI46,AL505_Ev3,0
LF7074,AL505_Ev3,0
IAI56,AL505_Ev3,1
IAI61,AL505_Ev3,1
ECOR61,AL505_Ev3,1
ECOR62,AL505_Ev3,1
IAI38,AL505_Ev3,1
IAI59,AL505_Ev3,0
IAI69,AL505_Ev3,1
IAI65,AL505_Ev3,1
NILS68,AL505_Ev3,1
NILS21,AL505_Ev3,1
NILS66,AL505_Ev3,1
ECOR59,AL505_Ev3,0
ECOR60,AL505_Ev3,1
IAI71,AL505_Ev3,0
NILS75,AL505_Ev3,0
IAI77,AL505_Ev3,1
NILS70,AL505_Ev3,0
ECOR53,AL505_Ev3,0
IAI74,AL505_Ev3,1
NILS54,AL505_Ev3,1
T145,AL505_Ev3,1
IAI51,AL505_Ev3,1
NILS62,AL505_Ev3,1
MT1B1,AL505_Ev3,1
NILS61,AL505_Ev3,1
LF82,AL505_Ev3,1
LF73,AL505_Ev3,1
NRG807C,AL505_Ev3,1
NILS26,AL505_Ev3,1
NILS80,AL505_Ev3,1
IAI53,AL505_Ev3,1
T205,AL505_Ev3,1
ED1A,AL505_Ev3,1
034026C1,AL505_Ev3,1
035004,AL505_Ev3,1
VDG427,AL505_Ev3,1
IAI48,AL505_Ev3,1
BEN4D,AL505_Ev3,1
NILS20,AL505_Ev3,1
034008,AL505_Ev3,1
001031C1,AL505_Ev3,1
013008,AL505_Ev3,1
COLF12G,AL505_Ev3,1
381A,AL505_Ev3,1
ECOR65,AL505_Ev3,1
IAI49,AL505_Ev3,0
NILS77,AL505_Ev3,0
IAI78,AL505_Ev3,1
IAI81,AL505_Ev3,1
IAI79,AL505_Ev3,1
IAI80,AL505_Ev3,1
ECOR64,AL505_Ev3,0
IAI67,AL505_Ev3,0
NILS28,AL505_Ev3,0
NILS58,AL505_Ev3,0
IAI47,AL505_Ev3,1
